Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Salesforce.com inc.,CRM,CALL,20000.0,2969000.0,1.3896,1.5635,16,-24000.0,-54.545455,reduction,N/A,Q2 2014,INFORMATION TECHNOLOGY,13F,09/30/2019,
Shake shack inc,SHAK,CALL,30000.0,2941000.0,1.3765,0.3382,17,10000.0,50.0,addition,N/A,Q1 2016,CONSUMER DISCRETIONARY,13F,09/30/2019,
Db x-trackers harvest csi 300 china a-shares fund,ASHR,CALL,100000.0,2709000.0,1.2679,0.4946,18,25000.0,33.333333,addition,No Data,Q2 2019,FINANCE,13F,09/30/2019,
Nvidia corp.,NVDA,CALL,15000.0,2611000.0,1.2221,0.0963,19,12500.0,500.0,addition,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Baidu inc adr,BIDU,CALL,24400.0,2507000.0,1.1734,0.1375,20,19400.0,388.0,addition,N/A,Q3 2017,COMMUNICATIONS,13F,09/30/2019,
Applied materials inc.,AMAT,CALL,50000.0,2495000.0,1.1678,0.7363,21,-20000.0,-28.571429,reduction,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Vaneck vect semiconductor etf,SMH,CALL,20000.0,2383000.0,1.1154,2.0642,22,-60000.0,-75.0,reduction,No Data,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Spdr s&p 500 etf trust,SPY,"",7500.0,2226000.0,1.0419,,23,7500.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,296.77
Mobileiron inc,MOBL,CALL,316000.0,2068000.0,0.9679,0.2803,24,123000.0,63.73057,addition,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Huya inc,HUYA,CALL,85600.0,2024000.0,0.9473,1.0729,25,-99800.0,-53.829558,reduction,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,
Lululemon athletica inc.,LULU,CALL,10000.0,1925000.0,0.901,,26,10000.0,,new,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Docusign inc,DOCU,CALL,30000.0,1858000.0,0.8696,,27,30000.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Nvidia corp.,NVDA,"",10500.0,1828000.0,0.8556,0.1155,28,7500.0,250.0,addition,0.0017241,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,171.2586
Teradyne inc,TER,CALL,30000.0,1737000.0,0.813,,29,30000.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Advanced micro devices inc,AMD,CALL,59500.0,1725000.0,0.8074,1.3157,30,-125500.0,-67.837838,reduction,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Kla corp,KLAC,"",10000.0,1595000.0,0.7465,0.0831,31,7000.0,233.333333,addition,0.0063107,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,147.075
Sea ltd adr,SE,CALL,50000.0,1548000.0,0.7245,1.1399,32,-96500.0,-65.870307,reduction,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Ctrip.com international ltd adr,CTRP,CALL,50400.0,1476000.0,0.6908,1.1757,33,-85600.0,-62.941176,reduction,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,
Dropbox inc,DBX,CALL,72000.0,1452000.0,0.6796,2.5755,34,-367000.0,-83.599089,reduction,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,
Fireeye inc,FEYE,CALL,100000.0,1334000.0,0.6244,,35,100000.0,,new,N/A,Q2 2014,INFORMATION TECHNOLOGY,13F,09/30/2019,
Spdr s&p consumer staples etf,XLP,PUT,20000.0,1228000.0,0.5748,,36,20000.0,,new,No Data,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,
Gds holdings ltd adr,GDS,CALL,30000.0,1202000.0,0.5626,,37,30000.0,,new,N/A,Q3 2019,COMMUNICATIONS,13F,09/30/2019,
Viavi solutions inc,VIAV,CALL,85700.0,1200000.0,0.5617,0.1119,38,49700.0,138.055556,addition,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,
Bilibili inc,BILI,CALL,80000.0,1130000.0,0.5289,1.0527,39,-196300.0,-71.045965,reduction,No Data,Q3 2018,COMMUNICATIONS,13F,09/30/2019,
Apple inc,AAPL,CALL,5000.0,1120000.0,0.5242,,40,5000.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Twilio inc,TWLO,CALL,10000.0,1100000.0,0.5149,,41,10000.0,,new,N/A,Q1 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,
Macom techno ord,MTSI,"",47500.0,1021000.0,0.4779,0.2333,42,-18327.0,-27.841159,reduction,0.0719152,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,15.442
