Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Tenable holdings inc,TENB,"",150000.0,3357000.0,0.0177665,0.0232,69,0.0,0.0,,0.1548467,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,38.88
Douyu intl holdings ltd,DOYU,"",400000.0,3276000.0,0.0173379,,70,400000.0,,new,0.1232210,Q3 2019, ,13F,09/30/2019,8.19
Cloudflare inc,NET,"",175000.0,3250000.0,0.0172003,,71,175000.0,,new,0.0596577,Q3 2019, ,13F,09/30/2019,18.57
Fireeye inc,FEYE,"",200000.0,2668000.0,0.0141201,0.016,72,0.0,0.0,,0.0931315,Q4 2013,INFORMATION TECHNOLOGY,13F,09/30/2019,43.61
Onesmart international education group ltd,ONE,"",320000.0,2365000.0,0.0125165,0.0138,73,0.0,0.0,,0.1964395,Q1 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,10.75
Fitbit inc,FIT,"",500000.0,1905000.0,0.010082,0.0119,74,0.0,0.0,,0.1935359,Q2 2015,INFORMATION TECHNOLOGY,13F,09/30/2019,38.23
Health catalyst inc,HCAT,"",50000.0,1582000.0,0.00837255,,75,50000.0,,new,0.1369863,Q3 2019, ,13F,09/30/2019,31.64
Realreal inc,REAL,"",70000.0,1565000.0,0.00828258,0.011,76,0.0,0.0,,0.0820441,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,28.9
Bilibili inc,BILI,"",100000.0,1412000.0,0.00747285,0.0088,77,0.0,0.0,,No Data,Q1 2018,COMMUNICATIONS,13F,09/30/2019,11.0147
Medallia inc,MDLA,"",50000.0,1372000.0,0.00726115,,78,50000.0,,new,0.0391880,Q3 2019, ,13F,09/30/2019,27.43
Sunlands online education group,STG,"",300000.0,885000.0,0.00468376,0.0039,79,0.0,0.0,,0.2771875,Q1 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,8.3
Penney (j.c.),JCP,"",850000.0,756000.0,0.00400104,0.0052,80,0.0,0.0,,0.2674302,Q2 2017,CONSUMER DISCRETIONARY,13F,09/30/2019,4.65
Sogou inc,SOGO,"",150000.0,741000.0,0.00392166,0.0033,81,0.0,0.0,,0.0383289,Q4 2017,COMMUNICATIONS,13F,09/30/2019,11.57
Lendingclub corp,LC,"",55000.0,719000.0,0.00380523,0.0049,82,0.0,0.0,,0.0630951,Q4 2014,FINANCE,13F,09/30/2019,25.3
Cloudera inc,CLDR,"",50000.0,443000.0,0.00234453,0.0014,83,0.0,0.0,,0.0178795,Q2 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,16.02
Farmland partners inc,FPI,"",44502.0,297000.0,0.00157184,0.0017,84,0.0,0.0,,0.1503446,Q1 2017,REAL ESTATE,13F,09/30/2019,11.17
Pivotal software inc,PVTL,"",0.0,0.0,0.0,0.0743,85,-1300000.0,-100.0,soldall,0.0000000,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,24.27
Eventbrite inc,EB,"",0.0,0.0,0.0,0.7322,86,-8347422.0,-100.0,soldall,No Data,Q3 2018,COMMUNICATIONS,13F,09/30/2019,37.97
Luckin coffee inc,LK,"",0.0,0.0,0.0,0.0317,87,-300000.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER STAPLES,13F,09/30/2019,19.49
